Volatility,risky
22.99426831,0
19.22119497,0
26.99409388,0
51.14037052,1
16.05601828,0
19.84728352,0
22.91166626,0
22.5747222,0
21.07770864,0
29.603735,0
25.21305925,0
22.78430437,0
25.61514211,0
19.81536755,0
25.85827937,0
19.67024184,0
18.82003875,0
24.11055928,0
21.35070377,0
17.67353838,0
23.3528245,0
19.92965546,0
28.37001979,0
19.2452415,0
24.2020088,0
24.82300691,0
37.02904923,0
19.97325911,0
38.68727032,0
19.6689487,0
23.53200901,0
19.73622787,0
24.40499519,0
17.4007735,0
27.09086971,0
21.09132236,0
21.08853537,0
20.9518462,0
30.5443934,0
21.98317397,0
17.71810987,0
21.04418501,0
29.52624275,0
45.31563967,1
19.27475425,0
17.83383229,0
25.08127383,0
27.28864044,0
23.70716679,0
23.57212018,0
26.97105624,0
24.40588921,0
16.04489293,0
30.9351429,0
36.78993293,0
,0
20.17372528,0
30.80594306,0
25.23398063,0
25.40610598,0
22.39710891,0
24.84280449,0
19.7863423,0
41.60401092,1
20.38460523,0
19.71614405,0
21.90164823,0
25.2907346,0
34.02866629,0
31.37519103,0
27.53367763,0
22.07173434,0
23.84085519,0
21.30713756,0
40.60224885,1
26.03321129,0
15.8845429,0
22.05934024,0
19.86428976,0
27.66350971,0
34.03524825,0
20.57282101,0
20.0496004,0
30.77459628,0
,0
50.06083634,1
20.99821512,0
16.28148964,0
30.83956895,0
24.6438555,0
54.91310214,1
22.79468838,0
20.88111729,0
38.26079638,0
19.02071566,0
24.41944548,0
16.2012073,0
22.76169749,0
19.48038904,0
28.88942045,0
20.89965535,0
33.63212381,0
20.43676203,0
27.74261426,0
29.6264303,0
