Volatility,risky
37.51540703,0
26.78160795,0
31.40396867,0
32.16669784,0
16.82240451,0
22.02970084,0
20.5155356,0
23.56396889,0
31.6458112,0
23.75830435,0
19.33819856,0
28.42687141,0
22.65346312,0
19.7352808,0
19.87622679,0
28.55797228,0
29.15989309,0
18.68640043,0
31.11171485,0
20.69182207,0
21.60304626,0
20.54447016,0
15.41757085,0
30.42347821,0
34.96623656,0
30.27132173,0
30.96672252,0
20.38601888,0
20.80875581,0
34.5756059,0
27.14628105,0
55.48018169,1
20.70021963,0
28.38518996,0
26.91970102,0
22.8940519,0
20.25290716,0
32.7257704,0
34.99131249,0
19.6645789,0
24.69409112,0
18.78005786,0
25.88206514,0
41.93841215,1
36.37602239,0
21.80460044,0
22.11649091,0
,0
19.56850984,0
38.31415253,0
27.48583773,0
19.58716172,0
40.08281626,1
21.30213623,0
17.22804873,0
21.47599545,0
24.69068667,0
18.3956695,0
22.54838296,0
25.71853812,0
62.13576327,1
21.73909514,0
21.4135479,0
33.39080956,0
18.08025275,0
22.13754785,0
17.96306823,0
,0
,0
42.70476156,1
23.49530307,0
22.58142116,0
24.51550948,0
24.27984096,0
17.28425047,0
28.17156384,0
28.80872934,0
20.42715896,0
24.28590788,0
20.49020012,0
25.5739453,0
21.08286192,0
25.69459041,0
18.9937361,0
24.25298034,0
16.97343059,0
16.64884967,0
25.22037403,0
24.43418583,0
33.40045268,0
24.00282327,0
23.97252918,0
35.69648107,0
15.28858757,0
67.83292482,1
24.66713609,0
27.81814278,0
17.77367249,0
27.01629447,0
15.46516929,0
18.03309999,0
28.46313553,0
20.7281275,0
22.32916081,0
29.32697779,0
24.6021212,0
20.47218092,0
35.35973557,0
22.98219047,0
26.341485,0
37.6264806,0
18.70674531,0
24.25852895,0
31.42648055,0
18.48642546,0
37.20844443,0
17.19731624,0
31.27775075,0
23.22416615,0
44.11799869,1
27.40974772,0
17.91849148,0
26.14984856,0
26.0127361,0
31.674199,0
19.53707576,0
27.29389604,0
41.90601762,1
24.35644707,0
31.10150732,0
23.05397354,0
21.72550198,0
23.95619711,0
21.9208776,0
31.34435542,0
17.95091949,0
31.37018694,0
30.32392102,0
24.18365547,0
22.74298339,0
19.99326157,0
27.34521634,0
25.74624829,0
18.22409718,0
21.05196549,0
26.54758098,0
19.58842591,0
19.60815159,0
15.74803514,0
41.00279244,1
,0
,0
17.33090725,0
30.73088244,0
88.37234524,1
19.78741524,0
19.04268515,0
20.41795604,0
20.40220755,0
23.03616752,0
26.47210957,0
22.25111828,0
33.35373405,0
23.55070413,0
20.50748266,0
31.8914115,0
20.97712008,0
19.96674217,0
21.15854416,0
32.15606081,0
24.47086979,0
20.78762901,0
,0
26.99745645,0
25.02920023,0
20.72812536,0
36.95364124,0
20.12241439,0
23.61309298,0
25.78016252,0
25.72247112,0
69.03369866,1
20.71020624,0
22.05768392,0
27.04018763,0
19.12897429,0
25.75057532,0
24.75985504,0
23.54196916,0
29.2521361,0
27.74420678,0
25.64625048,0
28.88345713,0
23.81264144,0
23.67813352,0
19.28627531,0
37.95905138,0
,0
22.07756951,0
18.51464889,0
22.07105345,0
22.4983311,0
28.20312584,0
16.59713713,0
24.96598677,0
24.24219469,0
28.16730522,0
28.80917282,0
19.37758176,0
26.93755148,0
24.80060334,0
30.00637586,0
22.39869251,0
28.2760001,0
21.18134101,0
34.76471352,0
27.30733972,0
23.17346598,0
30.56111316,0
30.47286849,0
21.59911029,0
21.95950143,0
20.24924594,0
35.48648596,0
22.02599709,0
28.3709571,0
,0
29.91391881,0
25.17205558,0
19.94671833,0
47.39312386,1
53.77794929,1
43.95296738,1
25.78249153,0
19.28626391,0
22.72418513,0
17.86269133,0
26.28811346,0
19.90730316,0
32.05046571,0
21.39495868,0
22.57519584,0
34.00940384,0
21.31560911,0
37.00654267,0
49.67825122,1
17.78835233,0
24.46702597,0
27.19581362,0
23.21129202,0
23.80666786,0
22.82531317,0
24.60814981,0
20.65792529,0
22.44187613,0
18.86148353,0
19.7159625,0
24.78258095,0
20.58069113,0
