,Unnamed: 0,Close,VAR,NVAR
0,A,275.1096826943117,27.336543751617537,9.93659819018168
1,AAL,5.534158118250761,3.8771843236824832,70.05915336781136
2,AAP,543.3125205807881,38.41629902179524,7.070755332626814
3,AAPL,214.0504910698844,24.112863113483566,11.265035176028194
4,ABBV,44.08036626448722,10.942417064222612,24.82378889178657
5,ABC,45.892785345274746,11.165106625426125,24.32867506608142
6,ABMD,543.3229041392372,38.41666611804767,7.070687766956839
7,ABT,47.879051285977575,11.404163487343189,23.81869143402001
8,ACN,1796.6038268032278,69.85810918797222,3.8883424462183
9,ADI,107.31331385985231,17.073299922412595,15.909768609615174
10,ADM,20.20906256909422,7.409070899674909,36.66212064188284
11,ADP,432.2972019981991,34.26745717914609,7.926828353445797
12,ADSK,388.390336976125,32.480662179946286,8.362891423311316
13,AEE,23.69403985726172,8.022509199555806,33.85876468464316
14,AEP,11.367099987050118,5.556681526537052,48.883897677221626
15,AIZ,138.1141472679174,19.36911374858259,14.02398967211511
16,AJG,247.7816926192959,25.94330336800476,10.470226066243455
17,AKAM,41.63134672643433,10.634103831758903,25.54350187525077
18,ALB,1650.2071120355631,66.95143558848483,4.0571534991082965
19,ALGN,3340.0698500555177,95.25075812976132,2.8517594662931405
20,ALK,44.0816329488086,10.9425742826141,24.823432233832087
21,ALLE,95.8317101647362,16.134120107815146,16.83588874713844
22,ALTR,34.509994093331194,9.681956095423558,28.05551362668742
23,AMAT,227.46162809137056,24.85677253643972,10.9278970457623
24,AMD,545.8863232807099,38.5071851574016,7.054066664645148
25,AME,57.65636766780487,12.514523140649064,21.705361691796508
26,AMGN,254.27390071539696,26.2809802071058,10.335697109756264
27,AMP,899.0496223865883,49.41769651053555,5.496659503549194
28,AMT,634.5976790518511,41.51833283586111,6.542465282554047
29,AMZN,63.77947119067461,13.162279946056763,20.637173216295437
30,ANET,374.8700616756481,31.910311616857904,8.512365984688296
31,AON,1068.4512700250857,53.872611199047846,5.042121499634045
32,AOS,53.02176153620067,12.001008477198384,22.63411876462211
33,APA,14.1236033275956,6.193889058161034,43.85487835146868
34,APD,212.7373985413325,24.03878916947296,11.299747639248528
35,APH,44.75325629896525,11.02561914614907,24.63646236710601
36,ARE,293.9418792980006,28.2566973275914,9.613021933136835
37,ATVI,143.8890885691121,19.76990567669976,13.7396837198006
38,AVB,655.9482632352193,42.21098238520607,6.4351084911813325
39,AVY,403.77815366221125,33.11784546913999,8.20199041695688
40,AWK,164.52552886503707,21.14011347657331,12.849138746069544
41,AXP,285.01264547281744,27.82420286390427,9.762445037393244
42,BA,290.36780116250594,28.084383471337915,9.672003355365264
43,BAC,18.76807435302611,7.1400380157276535,38.0435301002333
44,BAX,10.742301352184205,5.40181034378328,50.28541060882586
45,BBY,56.22981222592781,12.358733947169044,21.978970688204395
46,BDX,43.42783712187468,10.861123864857795,25.00958966567328
47,BEN,7.78435272354352,4.598348893008236,59.07169235922057
48,BF-A,8.442508932360658,4.788797037674804,56.72243969229396
49,BHI,0.0,0.0,
50,BIIB,1648.7498970736106,66.92186833579531,4.058946020532033
51,BIO,6667.682583385879,134.5792565813818,2.0183812726286354
52,BK,26.941337378117154,8.55461052386282,31.752731513659825
53,BLK,6155.037029817917,129.3022259836517,2.1007546397730907
54,BMRA,1.2241882668173114,1.8235378108753768,148.95893550885566
55,BMY,12.832430439050174,5.903983374060115,46.00830218485964
56,BR,130.02920213289298,18.793649164799128,14.453406509094446
57,BSHI,2.2216011893564493,2.456539298001806,110.5751702767774
58,BSX,7.074551340456392,4.383692857184212,61.964252518964855
59,BWA,10.489521544821114,5.337876310759287,50.88770053000847
60,BXP,74.04632208103816,14.1821610333524,19.153093137875352
61,C,23.36589070754626,7.966761885132272,34.09569095758598
62,CAG,4.340423384728164,3.433655450123921,79.1087676424674
63,CAH,17.334586836680337,6.86194786158943,39.58529803011751
64,CAT,234.43693383599103,25.23502171483665,10.764098174262395
65,CB,151.01219242373244,20.253340905118723,13.411725622980752
66,CCI,221.0292394532303,24.50278961397333,11.085768414435552
67,CDE,2.7996011742552707,2.757647492584833,98.50144077462755
68,CDNS,376.6392307887712,31.98552205879911,8.492350091044392
69,CF,55.84421202572236,12.316285571250026,22.054721741936355
70,CFG,10.87164135707193,5.43423261897589,49.98539264212352
71,CHD,20.14579997030481,7.397465104694342,36.71963940671657
72,CHRW,19.7102257069766,7.317057454891477,37.12315406059274
73,CHTR,3179.021006606057,92.92602609254448,2.923101983266002
74,CINF,118.82624787018234,17.96581231306885,15.119397132438698
75,CL,8.227607439440007,4.727455478904975,57.45844723027693
76,CLX,147.69638373416123,20.02975316949872,13.561437770575532
77,CME,146.71048769171747,19.9627903965547,13.606927978115973
78,CMI,226.96547107560684,24.82964797287823,10.939834969261456
79,CNC,39.94349721191024,10.416305519328674,26.0776002263086
80,CNP,4.539327751358536,3.5114495808590966,77.35615873535868
81,CNWT,5.134625942930767e-05,0.011809868770586,23000.446189942137
82,COO,484.4813013992692,36.27681719059103,7.487764148134728
83,COP,90.44765690312758,15.674342301187808,17.32973836787784
84,COST,4529.517310853338,110.92172843280862,2.4488642126838798
85,COTY,1.0466194649095169,1.6861067622477868,161.1002679367859
86,COWN,14.73809194465683,6.327196134821679,42.930904207824206
87,CPB,9.812713396299236,5.162799075990248,52.61336867269907
88,CPICQ,0.0,0.0,
89,CPRT,57.03100977360568,12.446470010085989,21.82403934192008
90,CRM,708.7178090901072,43.876031489425,6.190902913213876
91,CSCO,19.87510607953786,7.347598115432386,36.9688498065276
