Volatility,VAR,Maximum Drawdown,risky
22.36474273,0,24.81,0
15.49616054,4.893861116,49.74,0
20.16611478,109.9702115,20.66,0
25.54627016,17.24674299,28.16,0
17.81591197,0.670910044,35.91,0
16.25063342,31.954173,48.56,1
31.40712064,9.472880247,44.5,0
23.18432074,38.59891418,37.65,1
28.49190014,9.44093895,22.15,0
19.85650095,22.85103675,25.97,0
20.80337004,15.64734406,44.68,0
19.19952498,14.33609131,67.49,0
21.31197111,13.98992075,39.88,0
27.74604007,15.38756002,38.21,0
19.46094845,70.25063815,72.15,1
21.33305356,2.547784553,40.17,0
22.04302585,8.873777867,28.98,0
32.15526548,10.03033358,44.53,0
26.65061659,0.232215573,27.4,0
17.83360735,19.42171897,31.44,0
28.68308988,55.80396916,35.42,1
32.03055957,3.502476893,37.93,0
46.81006449,21.35158091,24.54,0
39.40421394,32.51806331,64.49,1
17.62172563,54.50282509,32.81,1
34.89117791,7.286776273,25.99,0
32.17002392,21.14045004,37.5,0
52.60909893,9.106224199,41.87,1
30.47924332,22.88554573,35.86,0
32.97005609,29.68193266,26.27,0
20.17325912,25.81231103,43.82,0
15.65657245,5.887947851,52.41,0
27.85407247,3.675465822,24.06,0
22.63622823,75.34530557,46.04,1
24.04763363,4.841010229,19.79,0
22.68964857,11.34306224,29.3,0
36.26736855,6.518281715,28.91,0
29.49327361,26.27731063,43,0
22.99426831,27.54057981,28.4,0
19.22119497,3.420074012,51.2,0
26.99409388,5.329354159,36.03,0
51.14037052,7.641406427,32.68,1
16.05601828,28.3797566,45.96,0
19.84728352,106.7475631,25.15,1
22.91166626,4.374129433,45,0
22.5747222,3.441229471,42.17,0
21.07770864,29.42990352,38.28,0
29.603735,5.130823204,23.32,0
25.21305925,0.054699466,24.06,0
22.78430437,8.252387401,36.68,0
25.61514211,18.8161727,41.75,0
